Spot,TrackID,X,Y,Q,Z,T,C1,C2,C3
264708,0,76.89309585345129,32.652509591149084,0.6645005941390991,0.0,138.0,22.70487106017192,5.899713467048711,18.60458452722063
263686,0,95.04538926516847,48.42415128140296,0.8465217351913452,0.0,11.0,7.040114613180516,33.89971346704871,29.939828080229226
263681,0,96.06782918847759,53.012320268461636,0.9026145935058594,0.0,8.0,7.051575931232092,36.02005730659026,32.07163323782235
265729,0,92.67918874403657,33.56600765141814,1.0601304769515991,0.0,197.0,14.429799426934098,30.93409742120344,34.363896848137536
264194,0,95.77445444268619,28.909743178621248,0.19459794461727142,0.0,87.0,6.01432664756447,11.759312320916905,7.982808022922636
265219,0,93.49864836382571,26.102856011023896,0.3449876010417938,0.0,171.0,6.392550143266476,15.564469914040115,11.487106017191977
263693,0,100.76885338222543,50.18368586368445,0.8169975280761719,0.0,19.0,7.275071633237823,33.00286532951289,29.277936962750715
264202,0,96.75930896305789,27.424821982716942,0.1978059560060501,0.0,86.0,6.232091690544412,11.386819484240688,7.610315186246418
265236,0,93.01582861843416,28.763016416267416,0.30244186520576477,0.0,169.0,6.363896848137536,14.05730659025788,10.421203438395416
266263,0,35.651596200159965,34.553916398963736,0.7415391206741333,0.0,217.0,24.89111747851003,5.851002865329513,20.744985673352435
264210,0,93.4773939949798,29.84671261961501,0.2058853805065155,0.0,88.0,6.2979942693409745,12.366762177650429,7.767908309455588
263699,0,95.74771875638972,50.56287151346909,0.8744409680366516,0.0,17.0,7.415472779369628,34.53868194842407,30.954154727793696
264723,0,74.79270954392442,31.044103584788978,0.6313095092773438,0.0,139.0,23.46131805157593,6.07163323782235,18.564469914040114
263711,0,97.39010108586281,50.847210769963866,0.8616542816162109,0.0,18.0,7.45272206303725,35.98567335243553,31.51862464183381
263705,0,99.50863929098944,50.4960269552819,0.8294403553009033,0.0,16.0,7.074498567335244,33.96275071633238,30.03724928366762
264218,0,92.94483938847299,28.926899060507157,0.19367508590221405,0.0,89.0,6.4756446991404015,12.17191977077364,7.699140401146132
265755,0,90.80165620419517,33.545838361931,1.0964164733886719,0.0,198.0,16.200573065902578,31.214899713467048,36.41547277936963
263717,0,94.53150345771152,50.06670754078418,0.8708325624465942,0.0,22.0,7.541547277936963,35.51002865329513,31.512893982808023
265253,0,92.949295087561,26.566130418925564,0.35091549158096313,0.0,172.0,6.283667621776504,16.054441260744987,11.722063037249283
264737,0,82.74750630333621,31.842823096265697,0.7165301442146301,0.0,136.0,28.587392550143267,6.69054441260745,24.277936962750715
264226,0,97.10189651123251,28.58534833236186,0.20321886241436005,0.0,90.0,6.289398280802292,12.578796561604584,7.925501432664756
264751,0,81.24655631937165,35.676438515181225,0.7318674325942993,0.0,137.0,24.045845272206304,5.97134670487106,19.30085959885387
264234,0,103.39053166113828,29.508442329028586,0.20825640857219696,0.0,92.0,6.051575931232092,12.56160458452722,7.948424068767908
263723,0,97.26521914172538,47.62462580356255,0.9578030705451965,0.0,23.0,8.054441260744985,36.43266475644699,33.33810888252149
265269,0,93.55729576571466,28.871546031141957,0.36801648139953613,0.0,173.0,5.830945558739255,16.200573065902578,12.031518624641834
265782,0,86.30273771170691,28.451966790277954,1.2412323951721191,0.0,200.0,19.724928366762178,31.822349570200572,40.54727793696275
263735,0,98.23541190053575,50.18307341960148,0.8314860463142395,0.0,20.0,7.744985673352436,33.53868194842407,30.283667621776505
263729,0,98.66907579179185,50.81082354258206,0.811886727809906,0.0,21.0,7.166189111747851,32.9512893982808,29.117478510028654
264242,0,102.64391699666513,31.525179328182343,0.22410869598388672,0.0,91.0,5.934097421203439,12.504297994269342,8.441260744985673
266291,0,0.0,53.0,0.9580948948860168,0.0,219.0,25.92836676217765,4.836676217765043,21.994269340974213
263741,0,99.11807025834666,45.90797420322564,0.9918986558914185,0.0,27.0,8.512893982808023,37.51289398280802,35.02578796561605
264766,0,76.712550551696,28.176736769760534,0.6904219388961792,0.0,140.0,24.15186246418338,5.73352435530086,19.88538681948424
264250,0,104.78220907917373,27.706468441343024,0.2914466857910156,0.0,96.0,6.30945558739255,15.1432664756447,10.472779369627506
265284,0,99.14672336191383,28.798861432623454,0.37671545147895813,0.0,174.0,6.318051575931232,17.22349570200573,13.022922636103152
264258,0,109.44215736448903,27.895807721745456,0.2653202414512634,0.0,95.0,6.263610315186247,13.369627507163324,9.418338108882521
263747,0,102.48771969877473,48.34609991481488,0.8960409760475159,0.0,24.0,8.343839541547277,35.93696275071633,32.911174785100286
264781,0,76.52404536647923,29.9954288751977,0.756971538066864,0.0,141.0,26.492836676217767,6.243553008595988,21.98567335243553
263759,0,103.52724260361417,43.20431996620815,1.0480936765670776,0.0,26.0,8.994269340974212,39.01432664756447,36.939828080229226
265807,0,85.18235108857665,29.660372725556563,1.728928565979004,0.0,204.0,29.412607449856733,36.20630372492837,54.6189111747851
266319,0,0.0,55.0,1.0182814598083496,0.0,220.0,25.997134670487107,4.73352435530086,22.39541547277937
263753,0,102.57991633182506,46.458365890619966,1.1496450901031494,0.0,25.0,8.931232091690545,40.36103151862464,38.29226361031519
264266,0,108.61482850227104,27.825774638502917,0.25593477487564087,0.0,94.0,6.088825214899713,13.802292263610315,9.134670487106018
263765,0,104.03674677933446,47.51977382164448,1.0308053493499756,0.0,29.0,9.819484240687679,36.34957020057307,35.16905444126075
264274,0,104.13694656384989,27.418091695966073,0.2465306520462036,0.0,93.0,6.232091690544412,13.71919770773639,9.031518624641834
265299,0,102.14392587548541,30.897770128213693,0.3840259313583374,0.0,176.0,6.29512893982808,16.39541547277937,12.69054441260745
264797,0,72.27240172250407,29.53125945731858,0.9467700719833374,0.0,142.0,29.74785100286533,6.091690544412607,25.361031518624642
264282,0,106.19323758455118,24.095863428576283,0.28351789712905884,0.0,97.0,6.206303724928366,14.404011461318051,10.38968481375358
263771,0,106.24035372675922,41.854145164589326,1.0599255561828613,0.0,30.0,10.60458452722063,37.401146131805156,37.00573065902579
265317,0,105.2219130510532,32.01996098100089,0.3891110122203827,0.0,177.0,6.160458452722063,17.851002865329512,13.011461318051577
263783,0,106.2165914036352,40.45649680241867,1.1970527172088623,0.0,31.0,11.939828080229226,41.919770773638966,42.01432664756447
263777,0,101.51579662355245,45.48191396944124,0.8939099311828613,0.0,28.0,9.332378223495702,34.816618911174785,32.91404011461318
